A,B,C
123,120,72
122,121,74
121,121,72
118,122,71
117,128,68
112,130,66
109,126,64
109,128,63
106,123,62
103,125,60
102,125,70
102,125,77
104,124,78
112,124,75
114,124,70
113,127,72
119,128,75
107,127,74
105,126,73
97,123,74
97,124,71
103,124,75
97,121,68
102,125,66
100,121,64
98,118,62
102,119,64
96,121,61
92,126,60
93,121,59
102,126,63
107,128,59
105,128,57
103,128,56
104,124,54
104,124,56
113,125,56
102,131,53
107,135,53
105,132,54
102,128,53
103,128,53
109,134,51
117,135,51
115,129,53
114,132,55
118,129,57
120,126,57
119,123,56
118,124,53
124,122,53
115,121,53
111,117,52
110,117,51
107,113,48
112,117,53
104,114,48
101,108,48
99,107,46
96,103,41
100,109,50
97,111,53
94,114,51
87,115,50
84,110,49
90,108,50
87,105,51
91,104,49
99,102,48
97,100,48
98,99,50
95,100,46
96,96,45
97,97,43
95,96,42
99,99,48
92,98,44
90,95,45
92,102,45
92,103,45
94,103,46
92,98,46
92,104,47
90,101,45
88,98,48
90,100,49
90,100,47
90,100,46
88,102,44
87,98,43
90,97,44
89,96,42
90,94,43
88,96,46
85,90,46
85,97,43
83,91,44
83,93,44
84,92,42
84,93,43
86,97,44
86,99,45
85,98,44
80,95,45
83,94,43
84,96,44
85,96,47
83,92,48
82,92,49
84,89,47
83,89,48
84,95,49
86,90,50
87,93,53
87,91,56
88,90,58
86,89,59
84,85,59
83,86,57
82,86,55
81,89,54
79,93,53
80,98,51
80,97,50
81,96,49
81,98,52
78,96,52
79,99,50
79,100,51
77,98,49
78,95,48
76,97,49
78,92,47
77,100,50
77,106,54
75,105,56
79,104,57
78,103,55
81,100,54
80,99,52
79,98,51
79,105,50
77,101,49
76,104,52
77,104,52
76,109,56
76,113,57
76,117,54
74,116,53
79,116,52
80,114,50
81,113,51
80,106,50
78,107,49
77,107,48
75,104,47
76,102,47
73,104,45
72,107,46
70,109,46
69,109,44
73,110,46
67,112,43
58,114,41
67,111,42
66,110,41
72,109,41
65,104,41
67,101,40
64,102,38
63,103,38
64,107,39
65,115,40
57,117,43
62,119,43
64,117,43
64,118,44
62,115,43
61,111,40
62,112,40
61,108,40
62,110,39
63,109,39
60,110,44
62,116,43
62,124,44
64,124,43
62,127,42
61,125,41
60,121,40
59,118,40
60,115,43
61,119,43
59,117,41
62,119,42
61,118,39
61,113,42
61,110,41
60,109,40
59,109,39
59,110,38
59,109,41
59,108,41
57,108,40
58,109,40
57,110,38
58,105,40
56,103,40
56,102,41
57,98,41
56,97,41
57,95,42
57,93,42
57,92,49
56,92,45
56,98,43
55,104,45
55,106,43
57,102,43
58,100,41
58,106,43
59,108,48
60,107,49
59,104,49
59,101,49
58,101,50
59,102,52
58,104,52
58,103,50
56,101,51
58,100,50
58,101,50
57,98,48
57,96,47
57,94,47
58,91,49
61,94,52
69,91,51
62,91,50
64,91,50
63,87,49
64,90,49
61,90,48
63,90,47
64,90,48
64,83,46
64,93,48
61,90,46
61,88,46
60,85,50
60,85,51
61,92,52
61,95,49
61,94,48
64,99,49
65,99,50
76,100,50
67,96,52
67,97,50
66,97,52
66,97,52
68,94,55
65,97,54
62,94,53
